doc_id,text_similarity,relevance,query_id
doc_1,0.6679487325593814,0.8280232645748202,query_001
doc_2,0.6523099287014974,0.8612931976023624,query_001
doc_3,0.8810189966210205,0.7966838365751343,query_001
doc_4,0.6340420563721767,0.7852665877625646,query_001
doc_5,0.8632018060142943,0.9311734045696407,query_001
doc_6,0.7979952138102537,0.7644854069287889,query_001
doc_7,0.7665602434798386,0.9043055500503039,query_001
doc_8,0.5725556872701355,0.6279308303417698,query_001
doc_9,0.7701254171489992,0.5794431515906653,query_001
doc_10,0.6017089373146102,0.7047628723837982,query_001
doc_11,0.7691330779857732,0.5451911357740479,query_001
doc_12,0.7339626637572871,0.7926094938462863,query_001
doc_13,0.3484886142283841,0.8695662565581238,query_001
doc_14,0.3027591154849889,0.231928717897877,query_001
doc_15,0.49905053073241673,0.08044146285980963,query_001
doc_16,0.3482424154252496,0.05151847515386561,query_001
doc_17,0.507568559307808,0.21462013680997583,query_001
doc_18,0.36728079283816795,0.24558837785078014,query_001
doc_19,0.37117472624904,0.26365376640426075,query_001
doc_20,0.5239474215354072,0.1476199094477803,query_001
