window_size,overlap_ratio,hit_chunks_ratio,topK_hit_rate,total_chunks,total_characters,cost_units
128,0.1,0.176056338028169,1.0,318,39827,1.0
128,0.15,0.16501650165016502,1.0,338,42353,1.0631586959511838
128,0.2,0.1597444089456869,1.0,358,44734,1.124497018788651
256,0.1,0.31645569620253167,1.0,160,39881,0.7522502591001681
256,0.15,0.30120481927710846,1.0,170,42211,0.7972250423332485
256,0.2,0.2840909090909091,1.0,180,44801,0.8454639428736834
384,0.1,0.45454545454545453,1.0,110,39931,0.674261621765709
384,0.15,0.4424778761061947,1.0,118,42002,0.7128401879007209
384,0.2,0.42016806722689076,1.0,120,44491,0.7472324880580208
512,0.1,0.625,1.0,80,39701,0.6242043220576793
512,0.15,0.5617977528089888,1.0,90,42211,0.6714388788112359
512,0.2,0.5555555555555556,1.0,90,44291,0.6975518172700704
