query,doc_id,score,label,rank,error_type
查询28,doc_28_0,0.6952328989253171,2,4,false_positive
查询30,doc_30_9,0.6939914841043144,2,1,false_positive
查询12,doc_12_1,0.6890540098729423,2,2,false_positive
查询4,doc_4_3,0.667056387827444,2,2,false_positive
查询13,doc_13_5,0.660052118152848,2,1,false_positive
查询12,doc_12_9,0.6590536493544943,2,5,false_positive
查询3,doc_3_1,0.658894098114281,2,2,false_positive
查询13,doc_13_0,0.6502707399483008,2,2,false_positive
查询20,doc_20_0,0.6483058578234778,2,2,false_positive
查询7,doc_7_7,0.6441995003848604,2,4,false_positive
查询19,doc_19_6,0.6354674114580617,2,3,false_positive
查询28,doc_28_8,0.6353944478698498,2,5,false_positive
查询11,doc_11_2,0.6346512832783928,2,2,false_positive
查询46,doc_46_3,0.6261022446853933,2,2,false_positive
查询49,doc_49_4,0.6234945452314627,2,3,false_positive
查询37,doc_37_1,0.6218085167505818,2,4,false_positive
查询22,doc_22_3,0.6171837681929553,2,3,false_positive
查询48,doc_48_8,0.6110332642892351,2,4,false_positive
查询8,doc_8_2,0.6069169163098493,2,3,false_positive
查询25,doc_25_2,0.6034119013204601,2,3,false_positive
查询1,doc_1_4,0.5904804848181758,2,3,false_positive
查询9,doc_9_4,0.578289239300597,2,2,false_positive
查询36,doc_36_1,0.5733419367469301,2,3,false_positive
查询32,doc_32_7,0.5622379389688598,2,3,false_positive
查询3,doc_3_2,0.558137367740242,2,4,false_positive
查询19,doc_19_4,0.5412793479991185,2,5,false_positive
查询16,doc_16_1,0.5391076062678257,2,2,false_positive
查询8,doc_8_9,0.5384961926466278,2,5,false_positive
查询17,doc_17_5,0.5322005805345669,2,4,false_positive
查询23,doc_23_5,0.5298770965607982,2,3,false_positive
查询45,doc_45_8,0.5214431128239838,2,2,false_positive
查询28,doc_28_9,0.5184232143157816,2,7,false_positive
查询44,doc_44_3,0.516864853002029,2,2,false_positive
查询11,doc_11_1,0.513289194121606,2,4,false_positive
查询42,doc_42_3,0.5068783452598434,2,2,false_positive
