threshold,precision,recall,tp,fp
2.0,1.0,0.0,0,0
1.0,1.0,0.11029411764705882,15,0
0.9778156878279247,1.0,0.1323529411764706,18,0
0.9889078439139625,1.0,0.1323529411764706,18,0
0.966723531741887,1.0,0.15441176470588236,21,0
0.9445392195698117,1.0,0.19117647058823528,26,0
0.9556313756558494,1.0,0.19117647058823528,26,0
0.9334470634837742,1.0,0.23529411764705882,32,0
0.9223549073977364,1.0,0.2426470588235294,33,0
0.9112627513116986,1.0,0.25735294117647056,35,0
0.9001705952256611,1.0,0.27941176470588236,38,0
0.8890784391396234,1.0,0.3235294117647059,44,0
0.8779862830535857,1.0,0.34558823529411764,47,0
0.8668941269675481,1.0,0.36764705882352944,50,0
0.8558019708815104,1.0,0.375,51,0
0.8447098147954728,1.0,0.40441176470588236,55,0
0.833617658709435,1.0,0.41911764705882354,57,0
0.8225255026233974,1.0,0.4264705882352941,58,0
0.8114333465373598,1.0,0.4485294117647059,61,0
0.8003411904513221,1.0,0.4852941176470588,66,0
0.7892490343652845,1.0,0.5073529411764706,69,0
0.7781568782792467,1.0,0.5147058823529411,70,0
0.7670647221932091,1.0,0.5588235294117647,76,0
0.7559725661071715,1.0,0.5808823529411765,79,0
0.7448804100211338,1.0,0.6176470588235294,84,0
0.7337882539350961,1.0,0.6470588235294118,88,0
0.7226960978490584,1.0,0.6691176470588235,91,0
0.7116039417630208,1.0,0.6911764705882353,94,0
0.7005117856769831,1.0,0.7132352941176471,97,0
0.6894196295909455,0.98,0.7205882352941176,98,2
0.6672353174188701,0.9724770642201835,0.7794117647058824,106,3
0.6450510052467948,0.9243697478991597,0.8088235294117647,110,9
0.6339588491607571,0.8968253968253969,0.8308823529411765,113,13
0.6228666930747194,0.8846153846153846,0.8455882352941176,115,15
0.6117745369886818,0.8721804511278195,0.8529411764705882,116,17
0.5784980687305687,0.8541666666666666,0.9044117647058824,123,21
0.5674059126445311,0.8445945945945946,0.9191176470588235,125,23
0.5452216004724558,0.8344370860927153,0.9264705882352942,126,25
0.5563137565584935,0.8344370860927153,0.9264705882352942,126,25
0.5341294443864181,0.8193548387096774,0.9338235294117647,127,28
0.5230372883003804,0.8125,0.9558823529411765,130,30
0.5119451322143428,0.7964071856287425,0.9779411764705882,133,34
0.5008529761283051,0.7953216374269005,1.0,136,35
